question,intent,answer
"How do I apply for admission?","admissions","Admissions are open for SRI VENKATESHWARA POLYTECHNIC. You can apply online or visit the campus admissions office with your documents."
"What is the admission process?","admissions","The admission process includes application submission, document verification, and fee payment at SRI VENKATESHWARA POLYTECHNIC."
"Is there any entrance exam?","admissions","Admissions are based on state guidelines. Please contact the admissions office for the current eligibility and entrance requirements."
"Which courses are offered?","courses","We offer diploma programs in Computer Engineering, Mechanical Engineering, Electrical & Electronics, and Civil Engineering."
"Tell me about Computer Engineering course","courses","The Computer Engineering diploma covers programming, databases, networking, and project work over 3 years."
"What is the duration of diploma courses?","courses","All diploma courses are 3 years (6 semesters)."
"What are the fees?","fees","The yearly tuition fee varies by branch. Please check the fee structure at the accounts office or contact admin for the latest amount."
"Is there any scholarship?","fees","Scholarships are available as per government norms for eligible students."
"When is the fee due date?","fees","Fees are usually due at the beginning of each semester. Please confirm the exact date with the accounts office."
"Show me the timetable","timetable","The timetable is updated every semester. Please contact your department office for the latest timetable."
"What are class timings?","timetable","Classes generally run from 9:30 AM to 4:30 PM, Monday to Friday."
"Do you have a practical schedule?","timetable","Yes, practicals are scheduled by the department. Please check the notice board or department office."
"Tell me about placements","placements","The Training & Placement Cell supports internships and campus placements with industry partners."
"Which companies visit campus?","placements","Companies vary each year. The T&P Cell will share the current list during placement season."
"What is the placement record?","placements","SRI VENKATESHWARA POLYTECHNIC has a growing placement record; details are available with the T&P Cell."
"Tell me about the college","college_info","SRI VENKATESHWARA POLYTECHNIC is a diploma college focused on quality technical education and industry readiness."
"Where is the college located?","college_info","The campus is located in a peaceful learning environment. Please contact admin for the exact address and directions."
"What facilities are available?","college_info","Facilities include labs, library, workshops, and sports areas for students."
